Unnamed: 0,avg_txn_amount,calls_per_day,avg_call_duration_mins,monthly_data_usage_gb,sim_tenure_days,phone_number
0,3195.03009309063,45.90774745870079,52.23104644174673,14.05121461156214,3175,+243903746926
1,2849.833738049218,31.086741595000746,41.27055823434118,16.145868160488156,3508,+243974377254
2,1401.151656348587,44.15637725942466,68.98181627859499,22.66639717351215,861,+243827514095
3,2313.202179154613,44.09360424612389,74.7425729022471,25.086062375163813,1295,+243990926382
4,2011.3186793941584,53.83302580937301,68.15986810082724,15.92523251839043,1131,+243852648613
5,3684.51409183473,33.98554238468564,92.58651908274406,24.13126229286504,1096,+243991989413
6,2810.0051625071246,62.26192581063985,81.25734259960812,18.422025971253284,3093,+243907203173
7,1258.327307345674,13.508782171291635,77.49783784283835,10.96874480654291,1639,+243825593519
8,1675.3243612810816,68.81035679110576,72.7032802871003,15.303509260866528,2170,+243829376874
9,4157.390617487261,30.32059477218196,69.61530772012838,15.10682485220068,467,+243824798808
10,3045.0718459512814,36.74861370709292,53.13805933883452,24.189582274842337,1239,+243908707720
11,1723.1786411746125,47.2402164948155,91.16984244893423,16.807662317968003,331,+243972204969
12,4156.0591382446,55.42507714709613,58.422558394351306,16.289621786255463,1483,+243996871066
13,1116.838137078657,52.58901668553276,83.21612218461743,22.99126389686996,2136,+243974275202
14,4451.771091003056,40.00438494023373,64.38221916061956,26.325327656609264,3445,+243852049668
15,3034.021035314475,63.57777495909023,76.13172807773253,16.858273423736527,3172,+243836033466
16,1084.7595233734482,29.199908870698323,79.96800789862709,19.136654661792623,2920,+243846251984
17,859.452058175231,30.916588798742414,45.88770733045921,18.717040028639257,131,+243893968600
18,5009.623289640781,58.17997391230025,72.47631003139044,13.570223513120329,1686,+243998382657
19,3734.967708400535,39.99158642966351,54.23607515314043,25.800101670959044,3381,+243994029757
20,1943.825993693721,8.44286198280841,32.660758330597886,18.92651997271429,770,+243993009361
21,2322.4148303675447,35.26164457309059,66.14478605523146,21.950354628476184,2392,+243830407001
22,2099.0636263864208,66.31231853921852,71.82156384327664,17.47645716051129,1516,+243825640021
23,1794.1666521803518,34.802899802011126,78.14928696159663,22.714020334784763,3486,+243859563670
24,2056.345017964657,27.283798759881453,45.155435665782605,20.572472844417995,2854,+243897431550
25,2644.916598706556,51.24418400484665,71.26212487540694,17.89862305873301,2434,+243995233292
26,4289.3693007748325,37.465301476084015,51.32938993401848,19.31082148869168,1216,+243833638076
27,3572.663864556338,33.96612056676891,87.55998468968134,13.407169291356844,956,+243827088169
28,1703.150091095315,38.6199388627609,59.734059552762346,16.244102994856704,2325,+243836983010
29,2584.073909144324,50.3544666216356,53.3986832628886,9.16164689692789,1185,+243854688222
30,1442.8651269323875,75.76886349242852,37.227740649733896,20.70320093771078,460,+243847570730
31,996.8426053532628,59.56563320079181,107.0525404689669,21.56607120665659,3386,+243973573282
32,2841.956150938493,46.21356507990681,62.15679022395076,23.237561691581146,22,+243991115283
33,2032.26242686028,25.43753655649729,66.13431165935486,17.61444749754193,2301,+243813043776
34,3250.597126710027,25.77150019702461,77.44096583339818,17.649080847973718,748,+243830025655
35,800.9324946470489,39.18530886739752,66.09308311725266,21.398228988052853,2905,+243892571400
36,3352.595084735789,47.191286342959216,30.78904172661508,15.112111749680611,3633,+243852320045
37,878.9903517911965,56.33750123001355,19.631242479815576,11.671194108004268,475,+243838470420
38,7645.751568198559,32.40777577362209,42.45809699355311,9.31540491736112,1083,+243844602189
39,1406.079325207501,43.186862440129005,77.03703149344265,22.4823954313452,2559,+243899277156
40,2991.146702271289,65.55180965278875,61.05772989014808,19.45477544033958,2048,+243829190708
41,2094.467325751896,58.42304874595433,69.26506392570124,15.107441998801104,3548,+243896969218
42,1169.6950849929767,36.58267963717695,95.78507709366204,24.594270640848663,2748,+243979683307
43,1177.0794180239827,42.38013059595194,51.07657041206959,21.47900657133049,976,+243836116528
44,12086.94873784942,47.5462139748615,48.83936871745733,20.45525246052921,1807,+243899950395
45,346.3511547308358,62.3435155609376,56.012594519648886,16.904608565458375,190,+243894074463
46,2089.8822593493533,40.903028123828506,69.50350312665293,12.329239430307508,3006,+243893267319
47,797.8321413080924,47.98386196627691,51.13068603881652,18.73172696565905,2735,+243830729694
48,1089.0753001425255,32.92086530208315,67.01526288058297,24.805591605122203,3006,+243856840990
